,name,user_card,titles,comment_num,comment_num,time,device,text,pic_num,video
0,学不来物理的工科少女u,id=1066595335&refer_flag=1001015010_,"['学不来物理的工科少女u', '熊猫守护者']",?评论,?1,2018-10-13 19:26,,"山僧不解数甲子 一叶落知天下秋?

K阿果吉曲 (电影《追梦者》插曲)   2北京·北京工商大学(阜成路校区)",4.0,False
1,陈洋Aileen,id=3894916690&refer_flag=1001015010_,"['陈洋Aileen', '熊猫守护者']",?评论,?赞,2018-10-13 19:04,,"昨日的车流?????????……
滴滴滴～ 2北京·北京工商大学(阜成路校区) L陈洋Aileen的秒拍视频",0.0,True
2,陈洋Aileen,id=3894916690&refer_flag=1001015010_,"['陈洋Aileen', '熊猫守护者']",?评论,?赞,2018-10-13 19:08,,"也没有什么主题吧，
就是一张selfie～
好闺蜜送的超漂亮的项链，
还有一朵花～ 2北京·北京工商大学(阜成路校区)",3.0,False
3,就是北京小葱爷,id=1613890481&refer_flag=1001015010_,"['就是北京小葱爷', '', '微博会员', '熊猫守护者']",? 1,?赞,2018-10-13 19:53,,航天桥这捡了一个小家伙，很乖，不爱叫，有肩带，很干净，有认识他主人的吗？ 2北京·北京工商大学(阜成路校区),1.0,False
4,曹大宝的小公主,id=6747323633&refer_flag=1001015010_,['曹大宝的小公主'],?评论,?赞,2018-10-13 19:03,美图T8?双像素黑科技,? 2北京·北京工商大学(阜成路校区),1.0,False
5,石平安-,id=2063978671&refer_flag=1001015010_,"['石平安-', '', '微博会员', '熊猫守护者']",? 2,?2,2018-10-13 18:05,,"#我的微博数据日报#
【我的微博数据日报】 2北京·北京工商大学(阜成路校区)",6.0,False
6,Dkbw,id=5301195470&refer_flag=1001015010_,['Dkbw'],?评论,?1,2018-10-13 17:51,荣耀V8 脱影而出,"只要不开心就要想想身边的好朋友们
所以还是很幸福的 2北京·北京工商大学(阜成路校区)",0.0,False
7,公子冉逸,id=3783876794&refer_flag=1001015010_,"['公子冉逸', '熊猫守护者']",? 6,?3,2018-10-13 09:47,,约一波早饭，下一顿麻辣香锅造起来#今日贴纸打卡# @ZHM张会敏 @我是爱疯狂的小黑子 @MollyFan226 2北京·北京工商大学(阜成路校区),4.0,False
8,爱墨宇,id=3485035357&refer_flag=1001015010_,['爱墨宇'],?评论,?赞,2018-10-13 12:36,,给我的嗓子去去火 2北京·北京工商大学(阜成路校区),1.0,False
9,Fliveria0506,id=2456415145&refer_flag=1001015010_,"['Fliveria0506', '熊猫守护者']",? 1,?赞,2018-10-13 16:31,,"在床上躺一天

肚子疼疼疼 2北京·北京工商大学(阜成路校区)",0.0,False
10,爱墨宇,id=3485035357&refer_flag=1001015010_,['爱墨宇'],?评论,?赞,2018-10-13 09:17,,明治送白砂糖，如实送蜂蜜，哪个好 2北京·北京工商大学(阜成路校区),1.0,False
11,刘东晓official,id=6067914381&refer_flag=1001015010_,['刘东晓official'],? 1,?赞,2018-10-13 10:23,小米5X 拍人更美,日常宠溺#今日贴纸打卡##宝宝的少女心# 2北京·北京工商大学(阜成路校区),1.0,False
12,石平安-,id=2063978671&refer_flag=1001015010_,"['石平安-', '', '微博会员', '熊猫守护者']",?评论,?3,2018-10-13 12:00,,"自媒体狂到跨界反对某一行业必死无疑，
因为你不是行家时胡说八道会有人封杀。 2北京·北京工商大学(阜成路校区)",0.0,False
13,zhizhimin1103,id=5735385571&refer_flag=1001015010_,['zhizhimin1103'],? 1,?1,2018-10-13 08:15,,"绝望的早上 哎 心里有股愤怒没有爆发
被吵醒的感觉真的很难受
我困 但是我睡不着 心里就更愤怒了
你们起床动静都这么大的吗
我真的不想再每天吐槽这破宿舍了
一天天的 真烦 2北京·北京工商大学(阜成路校区)",1.0,False
14,石平安-,id=2063978671&refer_flag=1001015010_,"['石平安-', '', '微博会员', '熊猫守护者']",? 1,?3,2018-10-13 07:47,,"?中关村异业众筹联盟
淘汰你的不是客户没有消费，
而是你没有提供消费入口，
你不把前端自媒体工具与你的行业结合，
最终淘汰你的还是你的同行，
同行接受了自媒体，
把自媒体跟自己做的事情结合起来，...展开全文c",0.0,False
15,石平安-,id=2063978671&refer_flag=1001015010_,"['石平安-', '', '微博会员', '熊猫守护者']",?评论,?3,2018-10-13 08:19,,"#众创空间#
《白皮书》统计显示，
目前中国众创空间发展迅速，
数量跃居全球第一。
数据显示，17年底，
全国纳入火炬统计的众创空间已达5739家，
与2016年相比增幅超过33%。...展开全文c",0.0,False
16,石平安-,id=2063978671&refer_flag=1001015010_,"['石平安-', '', '微博会员', '熊猫守护者']",? 1,?3,2018-10-13 07:33,,"“目光聚集之处，金钱必将追随”，
流量即金钱，流量即入口，人人都在争取流量的时代，无论是自媒体还是网店没有流量的企业必将走向灭亡。 2北京·北京工商大学(阜成路校区)",0.0,False
17,石平安-,id=2063978671&refer_flag=1001015010_,"['石平安-', '', '微博会员', '熊猫守护者']",? 1,?4,2018-10-13 07:19,,"新的个税法还增加了子女教育、
继续教育、大病医疗、住房贷款利息、住房租金、赡养老人支出6项专项附加扣除，
确保个税扣除后的应纳税收入起点明显高于5000元。 2北京·北京工商大学(阜成路校区)",0.0,False
18,石平安-,id=2063978671&refer_flag=1001015010_,"['石平安-', '', '微博会员', '熊猫守护者']",? 1,?1,2018-10-13 06:40,,"中国国际电子商务中心研究院当天发布
《中国农村电子商务发展报告(2017—2018)》2017年全国832个国家级贫困县实现网络零售额1207.9亿元人民币，
同比增长52.1%。
迅速兴起的各类“电商村”，
带动就业人数超2800万人，
带动直接就业机会超过130万个，
充分显示出贫困落后地区借助互联网实现跨越式发展 ...展开全文c",0.0,False
19,Justin_just_in,id=5313072065&refer_flag=1001015010_,"['Justin_just_in', '微博会员', '熊猫守护者']",?评论,?11,2018-10-12 23:48,,还是跟兄弟们一起喝顿酒舒坦 2北京·北京工商大学(阜成路校区),1.0,False
