,name,user_card,titles,comment_num,comment_num,time,device,text,pic_num,video
0,谢廷杰emulative,id=5896329076&refer_flag=1001015010_,"['谢廷杰emulative', '微博会员']",? 4,?9,2018-10-13 16:44,前后2000万 OPPO R11,今天是艺传学院摄像小哥 2北京·北京工商大学（良乡校区）,6.0,False
1,千儿钱浅欠,id=3809524369&refer_flag=1001015010_,['千儿钱浅欠'],? 2,?5,2018-10-13 19:56,,虽然没有跑出太好的成绩 但是也算是拼一把了? 一道小绿的六个1.... 2北京·北京工商大学（良乡校区）,3.0,False
2,詹姆斯的迷妹呀,id=3451258562&refer_flag=1001015010_,"['詹姆斯的迷妹呀', '微博问答答主']",?评论,?4,2018-10-13 18:09,,"你们是天使??
经院是冠军 2北京·北京工商大学（良乡校区）",6.0,False
3,天啦噜怎么会有这个人,id=5218807679&refer_flag=1001015010_,"['天啦噜怎么会有这个人', '熊猫守护者']",?评论,?1,2018-10-13 20:06,,"今天是和胖子分开的第46天
想它
想它
想它 2北京·北京工商大学（良乡校区）",1.0,False
4,yaeoleeNI,id=5130640951&refer_flag=1001015010_,['yaeoleeNI'],?评论,?赞,2018-10-13 20:22,,芳华好难看 2北京·北京工商大学（良乡校区）,2.0,False
5,Sue-su苏,id=6301105579&refer_flag=1001015010_,['Sue-su苏'],? 2,?1,2018-10-13 14:56,荣耀8X Max,"运动会
公司年会六人组 2北京·北京工商大学（良乡校区）",3.0,False
6,幼稚园的幼稚鬼wyx,id=2987516927&refer_flag=1001015010_,"['幼稚园的幼稚鬼wyx', '微博会员', '熊猫守护者']",? 2,?1,2018-10-13 18:52,,口罩不能摘 2北京·北京工商大学（良乡校区）,1.0,False
7,小美我是图图,id=3498630332&refer_flag=1001015010_,['小美我是图图'],?评论,?3,2018-10-13 14:34,小米手机5,准备回家。祝最亲爱的刘同学生日快乐。 2北京·北京工商大学（良乡校区）,5.0,False
8,NineSuner,id=3230699350&refer_flag=1001015010_,"['NineSuner', '熊猫守护者']",? 2,?赞,2018-10-13 19:33,,艺传学院Fighting 2北京·北京工商大学（良乡校区）,1.0,False
9,刘阳要好好踢球,id=3789545050&refer_flag=1001015010_,['刘阳要好好踢球'],?评论,?赞,2018-10-13 19:23,HUAWEI P20,"保持愤怒
保持温柔 2北京·北京工商大学（良乡校区）",1.0,False
10,薛羽畅,id=3184463140&refer_flag=1001015010_,"['薛羽畅', '', '熊猫守护者']",?评论,?6,2018-10-13 14:57,,藝傳? 2北京·北京工商大学（良乡校区）,2.0,False
11,滑儿HAha,id=5898265582&refer_flag=1001015010_,"['滑儿HAha', '微博会员']",?评论,?赞,2018-10-13 14:16,HUAWEI P20,有想嫁的理智想法 2北京·北京工商大学（良乡校区）,1.0,False
