,name,user_card,titles,comment_num,comment_num,time,device,text,pic_num,video
0,Thu的小咸鱼,id=6500721195&refer_flag=1001015010_,"['Thu的小咸鱼', '微博会员']",?评论,?2,2018-10-13 20:49,小米8周年旗舰手机,贴完海报啦!酬劳到手 2北京·清华大学本部,6.0,False
1,魔幻海参大战CPA,id=3282748991&refer_flag=1001015010_,"['魔幻海参大战CPA', '', '熊猫守护者']",? 3,?3,2018-10-13 20:59,,#今日贴纸打卡# 来学校上课，最主要的两个目的是：刷卡签到、吃吃吃 2北京·清华大学本部,4.0,False
2,陈怀果,id=5378839315&refer_flag=1001015010_,"['陈怀果', '微博会员', '熊猫守护者']",?评论,?赞,2018-10-13 21:18,,分享图片 2北京·清华大学本部,9.0,False
3,周杰伦老婆的日常OwO,id=1583966460&refer_flag=1001015010_,['周杰伦老婆的日常OwO'],? 10,?18,2018-10-13 18:55,,"一下午都没逛完清华 让整天蜗居在东单小破楼的我十分羡慕
协和的胸牌也太好用了
我也是清华承认的学生 2北京·清华大学本部",9.0,False
4,Elfara,id=6395110773&refer_flag=1001015010_,['Elfara'],?评论,?15,2018-10-13 20:12,,纪念日要过的有意义才会有继续在一起的想法噢~ 2北京·清华大学本部,9.0,False
5,88__choi,id=5405625447&refer_flag=1001015010_,"['88__choi', '微博会员']",?评论,?赞,2018-10-13 20:41,,昨日 2北京·清华大学本部,9.0,False
6,Betheoneloveyou,id=3555004905&refer_flag=1001015010_,['Betheoneloveyou'],?评论,?3,2018-10-13 20:40,,分享图片 2北京·清华大学本部,9.0,False
7,拎圈丫6529667252,id=6529667252&refer_flag=1001015010_,['拎圈丫6529667252'],?评论,?赞,2018-10-13 20:00,,"当时天真的我没有想到，两个月后的两个月后还要分开两个月
我好想圈 2北京·清华大学本部 L拎圈丫6529667252的秒拍视频",0.0,False
8,是问号还是文豪,id=3302828855&refer_flag=1001015010_,"['是问号还是文豪', '微博会员']",?评论,?赞,2018-10-13 19:29,,好久不见我的小崽子们，一见面就让你们干活不过好像玩的还挺起劲。 2北京·清华大学本部 L是问号还是文豪的秒拍视频,0.0,False
9,Thu_小王同学,id=6673582057&refer_flag=1001015010_,['Thu_小王同学'],?评论,?赞,2018-10-13 20:37,,预感老时的经济法会过 2北京·清华大学本部,2.0,False
10,you先生在哪里,id=1933148081&refer_flag=1001015010_,"['you先生在哪里', '微博会员']",?评论,?赞,2018-10-13 20:00,HUAWEI P20 Pro,分享图片 2北京·清华大学本部,5.0,False
11,Csyu1994,id=2670921291&refer_flag=1001015010_,"['Csyu1994', '熊猫守护者']",? 2,?赞,2018-10-13 17:47,,"清华的老房子让我想起了童年 怀念
走不到叫憧憬 走到的叫足迹 2北京·清华大学本部",4.0,False
12,米米米慧,id=5715461657&refer_flag=1001015010_,['米米米慧'],?评论,?1,2018-10-13 19:34,全面屏vivo X20Plus,今天 2北京·清华大学本部,5.0,False
13,离开大陆的陆,id=5326758873&refer_flag=1001015010_,"['离开大陆的陆', '微博会员']",?评论,?赞,2018-10-13 17:13,,"今天认真化妆了，用Bbb给带的纯天然蜂蜜兑了一杯咖啡简直好喝死了。
然而真实的周末还是要面对??的合作单位，把几千万数据不规则地存在了一万页word里还说是因为excel盛不下…
严重怀疑是不是虐待本科生手动复制的… 2北京·清华大学本部",4.0,False
14,漯河wangxiaodong,id=3243152782&refer_flag=1001015010_,['漯河wangxiaodong'],?评论,?赞,2018-10-13 18:12,微博视频,分享视频 2北京·清华大学本部 L漯河wangxiaodong的微博视频,0.0,True
