,name,user_card,titles,comment_num,comment_num,time,device,text,pic_num,video
0,囧囧NILA,id=2794832925&refer_flag=1001015010_,['囧囧NILA'],?评论,?赞,2018-10-13 20:56,,全国创新创业优秀女性走进北京大学 2北京·北京大学 L囧囧NILA的秒拍视频,0.0,True
1,北京大然方,id=1275956960&refer_flag=1001015010_,['北京大然方'],?评论,?2,2018-10-13 20:42,,昨天是在北大两年来最难熬的一天，因为前一天球后洗完澡，发现时间不够了，没有穿外套就骑往燕东园，受了风。最近好脆弱。结果整个上午都在刘卿楼的四层东南侧晒太阳，在昏迷和清醒间，身后的一位学妹在高声朗诵，流畅、悦耳。 2北京·北京大学,3.0,False
2,装泽泽zzz,id=3838920280&refer_flag=1001015010_,['装泽泽zzz'],?评论,?赞,2018-10-13 21:36,,"emmmmm舞会翘掉
果然还是烧烤最合心意 2北京·北京大学",9.0,False
3,一个人走-Yann,id=2508878604&refer_flag=1001015010_,['一个人走-Yann'],?评论,?赞,2018-10-13 22:03,三星Galaxy S9+,2北京·北京大学,6.0,False
4,爱听笔畅,id=1793218251&refer_flag=1001015010_,"['爱听笔畅', '']",? 2,?赞,2018-10-13 21:49,荣耀手机 勇敢做自己,像不像小童星 2北京·北京大学,9.0,False
5,悦悦猫Isabel,id=1242046744&refer_flag=1001015010_,"['悦悦猫Isabel', '']",?评论,?2,2018-10-13 20:15,,"下午养眼?
夜晚养心??
满满的巾帼力量 2北京·北京大学",9.0,False
6,董思言Siyan,id=5056494800&refer_flag=1001015010_,"['董思言Siyan', '微博问答答主']",?评论,?赞,2018-10-13 21:16,,啊？ 2北京·北京大学 L董思言Siyan的秒拍视频,0.0,False
7,东尧的blog,id=1045317117&refer_flag=1001015010_,['东尧的blog'],? 1,?1,2018-10-13 20:02,,"第三讲：交换、分工和货币

        并非所有的交往都是为了交换，但是交换是交往的最基本形式。 2北京·北京大学",9.0,False
8,sooooonra,id=3809000855&refer_flag=1001015010_,['sooooonra'],? 1,?4,2018-10-13 19:22,,分享图片 2北京·北京大学,9.0,False
9,是许糊糊吧,id=5752116784&refer_flag=1001015010_,"['是许糊糊吧', '微博会员']",?评论,?1,2018-10-13 20:16,,"我不知道自己为什么听这些嘉宾讲述自己的创业经历 听得自己头皮发麻
突然发现自己曾经一切的幻想和豪言壮志到现在已经消失得所剩无几了。 2北京·北京大学",4.0,False
10,芝加哥飞鸟,id=1972239191&refer_flag=1001015010_,"['芝加哥飞鸟', '熊猫守护者']",?评论,?赞,2018-10-13 21:16,,全天的培训见到了国际仲裁届的大咖们，从理论到实践，从历史沿革到比较法视角，听到了很多有趣的观点，交到各个国家和大所精英团队的朋友。参加了mock EA程序，代表claimant发言?。晚宴时和Gary Born先生聊天，说起他去少林寺的经历，忽然提醒自己曾是武术宝宝，找机会补上。 2北京·北京大学,2.0,False
