,name,user_card,titles,comment_num,comment_num,time,device,text,pic_num,video
0,听闻Elena,id=6459678585&refer_flag=1001015010_,"['听闻Elena', '微博会员']",?评论,?赞,2018-10-13 22:08,,"我要是再在谁面前跳绳
那个人一定是我真爱 2北京·北京工商大学嘉华学院",0.0,False
1,-祎阳yangangngg,id=5489793792&refer_flag=1001015010_,['-祎阳yangangngg'],?评论,?赞,2018-10-13 19:12,,K秋酿 2北京·北京工商大学嘉华学院,1.0,False
2,佳琪啊佳琪,id=5048152017&refer_flag=1001015010_,['佳琪啊佳琪'],?评论,?1,2018-10-13 16:40,,这是我见过最好看的教学楼了 2北京·北京工商大学嘉华学院,4.0,False
3,TWENUAN,id=5165421136&refer_flag=1001015010_,['TWENUAN'],?评论,?11,2018-10-13 12:07,,开心 2北京·北京工商大学嘉华学院,7.0,False
4,2018彤彤要全力以赴,id=3107448601&refer_flag=1001015010_,"['2018彤彤要全力以赴', '']",?评论,?赞,2018-10-13 19:58,vivo X20全面屏手机,今年只要能过两门，谁想吃饭我请！ 2北京·北京工商大学嘉华学院,0.0,False
5,抢嘣狗友尽,id=5512726903&refer_flag=1001015010_,['抢嘣狗友尽'],?评论,?赞,2018-10-13 17:04,,#天气即天意# cpa 经济法考试前考场监考小姐姐 2北京·北京工商大学嘉华学院,2.0,False
6,奶酪橘子Z,id=6072632207&refer_flag=1001015010_,['奶酪橘子Z'],?评论,?1,2018-10-13 09:48,OPPO超视野全面屏R15,不带它出来玩它就撒娇，出来就坐我旁边儿跟个小小孩儿一样 2北京·北京工商大学嘉华学院,4.0,False
7,小樹是个好少年,id=2708233581&refer_flag=1001015010_,"['小樹是个好少年', '']",?评论,?1,2018-10-13 16:10,,冲鸭@东奥郭守杰 2北京·北京工商大学嘉华学院,2.0,False
8,未来的三师Ttup,id=2262929167&refer_flag=1001015010_,['未来的三师Ttup'],?评论,?赞,2018-10-13 17:10,vivo X20全面屏手机,今年得有收获呀！至少得过2门呀！ 2北京·北京工商大学嘉华学院,0.0,False
9,2018彤彤要全力以赴,id=3107448601&refer_flag=1001015010_,"['2018彤彤要全力以赴', '']",?评论,?赞,2018-10-13 16:51,vivo X20全面屏手机,某人说我今天吃6个鸡腿都不过分，今天是吃不完了先攒着！求过！ 2北京·北京工商大学嘉华学院,0.0,False
10,Skyblack2,id=2644186811&refer_flag=1001015010_,['Skyblack2'],?评论,?赞,2018-10-13 14:48,,秋意浓 2北京·北京工商大学嘉华学院,1.0,False
11,2018彤彤要全力以赴,id=3107448601&refer_flag=1001015010_,"['2018彤彤要全力以赴', '']",?评论,?赞,2018-10-13 11:44,vivo X20全面屏手机,手脚冰凉！祝好运！ 2北京·北京工商大学嘉华学院,0.0,False
12,那你说ss,id=5579213441&refer_flag=1001015010_,"['那你说ss', '微博会员']",?评论,?11,2018-10-12 21:50,iPhone客户端,面瘫 2北京·北京工商大学嘉华学院,2.0,False
13,董尬尬6120,id=6263250317&refer_flag=1001015010_,['董尬尬6120'],? 2,?2,2018-10-12 16:08,HUAWEI nova 3,美国索菲亚大学学长讲座 2北京·北京工商大学嘉华学院,6.0,False
14,Dear我本人,id=6169858432&refer_flag=1001015010_,['Dear我本人'],? 2,?3,2018-10-12 15:41,HUAWEI P20,你跳球的样子真好看，哈哈哈哈 2北京·北京工商大学嘉华学院,3.0,False
15,mint楠姐,id=2990920623&refer_flag=1001015010_,['mint楠姐'],?评论,?赞,2018-10-12 10:15,,不该…… 2北京·北京工商大学嘉华学院,1.0,False
16,那你说ss,id=5579213441&refer_flag=1001015010_,"['那你说ss', '微博会员']",? 5,?18,2018-10-12 00:09,iPhone客户端,你要乖 要长大 要不负众望 2北京·北京工商大学嘉华学院,2.0,False
17,Suzy_Yzy,id=3180760640&refer_flag=1001015010_,"['Suzy_Yzy', '微博会员']",?评论,?11,2018-10-11 22:16,,"善良和爱都是免费的 但不是廉价的
你的善良 需要带点锋芒
你的爱 需要带些理智
毕竟不是所有人都配拥有它们 2北京·北京工商大学嘉华学院",1.0,False
18,晓陆ART,id=6050515300&refer_flag=1001015010_,"['晓陆ART', '微博问答答主']",?评论,?1,2018-10-11 19:18,,SO，玩了20年#嘉华学院# 2北京·北京工商大学嘉华学院,1.0,False
19,123OKBbd,id=5742287135&refer_flag=1001015010_,['123OKBbd'],?评论,?1,2018-10-11 18:12,OPPO R9,用二的态度面对生活 2北京·北京工商大学嘉华学院,1.0,False
20,luckilyluckyluck周周周周,id=5390160448&refer_flag=1001015010_,"['luckilyluckyluck周周周周', '微博会员', '熊猫守护者']",?评论,?12,2018-10-11 14:21,,周老板的自我修养 2北京·北京工商大学嘉华学院,2.0,False
21,见钱癫狂症,id=1967398287&refer_flag=1001015010_,['见钱癫狂症'],?评论,?赞,2018-10-11 14:14,HUAWEI P20,"校园里转一转
感觉自己还年轻 2北京·北京工商大学嘉华学院",1.0,False
22,我和世界只差一个妳空荡荡,id=6510802035&refer_flag=1001015010_,['我和世界只差一个妳空荡荡'],? 1,?2,2018-10-11 07:40,前后2000万 OPPO R11s,好喜欢这么一段话，你拼命赚钱的样子真的很狼狈。但是你自己靠自己的样子 真的很美！ 2北京·北京工商大学嘉华学院,0.0,False
23,北京工商大学嘉华学院国协,id=6708491850&refer_flag=1001015010_,"['北京工商大学嘉华学院国协', '微博会员']",?评论,?3,2018-10-10 23:05,iPhone 6s Plus,庆祝2018形象大使换届大会圆满结束，经过三年的不懈努力，各部门部长和部员们的团结合作让形象大使越来越壮大，祝越来越好！???@北京工商大学嘉华学院校团委 2北京·北京工商大学嘉华学院,9.0,False
24,XK_MOON,id=5022714460&refer_flag=1001015010_,['XK_MOON'],? 1,?2,2018-10-10 23:10,OPPO R15 梦镜版,北京的天也挺好的 2北京·北京工商大学嘉华学院,1.0,False
25,CarBon-17,id=5626546689&refer_flag=1001015010_,['CarBon-17'],?评论,?1,2018-10-10 23:17,,GN? 2北京·北京工商大学嘉华学院,1.0,False
26,BEIBEI_0210,id=1017876787&refer_flag=1001015010_,['BEIBEI_0210'],?评论,?2,2018-10-10 21:01,HUAWEI Mate 9,有点小开心? 2北京·北京工商大学嘉华学院,2.0,False
27,H-W-M,id=5844305377&refer_flag=1001015010_,"['H-W-M', '微博会员']",?评论,?赞,2018-10-10 08:51,vivo智能手机,第一次吃早饭！！！不易不易 2北京·北京工商大学嘉华学院,1.0,False
28,Suzy_Yzy,id=3180760640&refer_flag=1001015010_,"['Suzy_Yzy', '微博会员']",? 2,?8,2018-10-10 08:32,,cool?? 2北京·北京工商大学嘉华学院,3.0,False
29,DEFANEEAA,id=5021626770&refer_flag=1001015010_,['DEFANEEAA'],? 1,?7,2018-10-10 14:03,vivo NEX AI智慧旗舰,分享图片 2北京·北京工商大学嘉华学院,1.0,False
30,Pround8queen,id=5736687164&refer_flag=1001015010_,['Pround8queen'],?评论,?1,2018-10-10 11:14,HUAWEI P10,想加微信群的，第一个是心事，第二个是闲聊，想加的自主扫码，满人的话私我拉你 2北京·北京工商大学嘉华学院,2.0,False
31,翟子Leo,id=6337470676&refer_flag=1001015010_,['翟子Leo'],?评论,?赞,2018-10-10 08:17,OPPO随光而变R17,我发表了头条文章:《生命之间》 °生命之间  2北京·北京工商大学嘉华学院,0.0,False
32,一大只南瓈,id=3954218994&refer_flag=1001015010_,"['一大只南瓈', '熊猫守护者']",?评论,?5,2018-10-10 00:34,,ojbk 2北京·北京工商大学嘉华学院,1.0,False
33,MingNian__z,id=5527495516&refer_flag=1001015010_,"['MingNian__z', '微博会员', '微博问答答主']",? 5,?3,2018-10-10 00:57,,很悲 2北京·北京工商大学嘉华学院,1.0,False
34,Alice59313,id=6613007046&refer_flag=1001015010_,['Alice59313'],? 1,?1,2018-10-09 21:53,HUAWEI nova 3,攒钱买快乐 2北京·北京工商大学嘉华学院,1.0,False
35,Alice59313,id=6613007046&refer_flag=1001015010_,['Alice59313'],?评论,?1,2018-10-09 08:59,HUAWEI nova 3,分享图片 2北京·北京工商大学嘉华学院,6.0,False
36,孩纸无节操,id=3680704927&refer_flag=1001015010_,['孩纸无节操'],?评论,?8,2018-10-09 00:07,HUAWEI P20 Pro,哦吼吼 我的快乐们?? 2北京·北京工商大学嘉华学院,9.0,False
37,MR-KangKry,id=6099997325&refer_flag=1001015010_,['MR-KangKry'],? 2,?2,2018-10-08 21:25,,国际182四人小分队 2北京·北京工商大学嘉华学院,9.0,False
38,糕点儿,id=5352203792&refer_flag=1001015010_,"['糕点儿', '微博会员']",? 4,?3,2018-10-09 00:00,,"如果那个人不是你要等的人
就没必要等了
也许前面也有一个等你的人
那就学会接受吧.   2北京·北京工商大学嘉华学院",1.0,False
39,北京工商大学嘉华学院校团委,id=6235733664&refer_flag=1001015010_,"['北京工商大学嘉华学院校团委', '']",?评论,?1,2018-10-08 22:59,,"#晚安，嘉华#

如果有来生，要做一棵树，站成永恒，没有悲欢的姿势。一半在土里安详，一半在风里飞扬，一半洒落阴凉，一半沐浴阳光，非常沉默非常骄傲，从不依靠 从不寻找。
                                                                 ——三毛

晚安，嘉华
...展开全文c",1.0,False
40,TWENUAN,id=5165421136&refer_flag=1001015010_,['TWENUAN'],?评论,?6,2018-10-07 23:26,,真的…一点都不吓人，一点都不恐怖…… 2北京·北京工商大学嘉华学院,2.0,False
41,刘大氵涵,id=6042625416&refer_flag=1001015010_,"['刘大氵涵', '微博会员']",?评论,?3,2018-10-07 14:56,iPhone X,失恋哭得眼睛都睁不开了 2北京·北京工商大学嘉华学院 L刘大氵涵的秒拍视频,0.0,True
42,MR-KangKry,id=6099997325&refer_flag=1001015010_,['MR-KangKry'],?评论,?赞,2018-10-08 00:32,,2北京·北京工商大学嘉华学院,1.0,False
43,南柯_Nanco,id=3288141373&refer_flag=1001015010_,"['南柯_Nanco', '微博会员']",?评论,?1,2018-10-07 09:15,荣耀9 美得有声有色,村里的大学，小而精致！ 2北京·北京工商大学嘉华学院 L南柯_Nanco的秒拍视频,0.0,True
0,A_尼古拉斯张三,id=6593246284&refer_flag=1001015010_,['A_尼古拉斯张三'],?评论,?赞,2018-10-07 16:10,HUAWEI P20 Pro,咬你 2北京·北京工商大学嘉华学院,1.0,False
1,众里寻她千百度0113,id=6577858882&refer_flag=1001015010_,['众里寻她千百度0113'],?评论,?赞,2018-10-07 15:33,,"故国神游，多情应笑我。
早生华发，人生如梦。
一尊还酹江月。 2北京·北京工商大学嘉华学院",1.0,False
2,Eileenbetheone,id=1797349601&refer_flag=1001015010_,"['Eileenbetheone', '']",? 13,?3,2018-10-06 19:04,,这样穿 已经不能御寒了 2北京·北京工商大学嘉华学院,3.0,False
3,hh有趣的灵魂gg,id=3820258917&refer_flag=1001015010_,"['hh有趣的灵魂gg', '微博会员', '熊猫守护者']",?评论,?8,2018-10-06 23:09,,2北京·北京工商大学嘉华学院,2.0,False
4,天下第一段子,id=6585376429&refer_flag=1001015010_,"['天下第一段子', '微博问答答主']",?评论,?赞,2018-10-06 19:08,微博视频,下班咯? 2北京·北京工商大学嘉华学院 L天下第一段子的秒拍视频,0.0,False
5,可爱的万能钥匙key,id=1804681171&refer_flag=1001015010_,['可爱的万能钥匙key'],?评论,?赞,2018-10-05 23:51,,今天是我们的结婚纪念日，上午在家附近看了艺术展览，中午在家附近的艺术餐厅吃了饭，下午在距离也挺近的燕郊唱了K，晚上在家吃了韭菜鸡蛋馅儿馅饼，然后晚上看了两遍去年今天我们结婚的视频，仿佛还是昨日发生的事儿一样，还吃了小蛋糕，今天是美好的一天，因为有你在身边? 2北京·北京工商大学嘉华学院,7.0,False
6,大嘴巴杨荣,id=2812820144&refer_flag=1001015010_,['大嘴巴杨荣'],?评论,?1,2018-10-05 18:47,又轻又薄的小米5c,国庆七天假被中国交通部强奸了四天，总算彻底完事了，估计年纪大了，超负荷工作已经力不从心了，不服不行…… 2北京·北京工商大学嘉华学院,3.0,False
7,GuoXu童童童,id=6099995325&refer_flag=1001015010_,['GuoXu童童童'],?评论,?赞,2018-09-29 23:48,前后2000万 OPPO R11,今天是一个发型师，还有我的小模特 2北京·北京工商大学嘉华学院,9.0,False
8,圆的中心,id=1284013267&refer_flag=1001015010_,"['圆的中心', '', '微博会员', '微博问答答主']",?评论,?6,2018-09-30 18:04,,好好玩两天，生活还有阳光灿烂还有笑容满面还有亲人牵挂，不仅仅只有断肠人在天涯 2北京·北京工商大学嘉华学院,1.0,False
9,圆的中心,id=1284013267&refer_flag=1001015010_,"['圆的中心', '', '微博会员', '微博问答答主']",? 6,?17,2018-09-29 19:03,,"#书写家国情#?书法
现代科学知识已经成为一部分人人格建设的主要素材，当大多数人还在讨论三观的时候，有些人已经开始用六观、七观解析、处理问题。
中国现阶段是一个多层次共享的叠加态社会，信仰貔貅这种只进不出的怪物的人大有人在，尽管他们也学过新陈代谢。
影响大多数人行为习惯的是家国 ...展开全文c",0.0,False
10,MR-KangKry,id=6099997325&refer_flag=1001015010_,['MR-KangKry'],?评论,?1,2018-09-29 17:05,,舒坦 2北京·北京工商大学嘉华学院,1.0,False
11,北服教学,id=2881553933&refer_flag=1001015010_,"['北服教学', '', '微博问答优质答主']",?评论,?6,2018-09-28 18:48,,本源／ 2北京·北京工商大学嘉华学院,1.0,False
12,BEIBEI_0210,id=1017876787&refer_flag=1001015010_,['BEIBEI_0210'],?评论,?1,2018-09-29 10:27,HUAWEI Mate 9,"你得到我的手机也得不到我的心
我永远是你得不到的女人 2北京·北京工商大学嘉华学院",1.0,False
13,L-yyyy要早睡,id=5619089115&refer_flag=1001015010_,['L-yyyy要早睡'],?评论,?1,2018-09-27 21:33,,分享图片 2北京·北京工商大学嘉华学院,4.0,False
14,-Lliu-先生,id=5576163047&refer_flag=1001015010_,"['-Lliu-先生', '微博会员', '熊猫守护者']",? 2,?2,2018-09-27 21:13,,"不穿白鞋不下雨
穿了白鞋就下雨 2北京·北京工商大学嘉华学院",1.0,False
15,Lee李莹啊_,id=5651468976&refer_flag=1001015010_,"['Lee李莹啊_', '微博会员']",?评论,?3,2018-09-28 23:32,iPhone 7 Plus,啾啾啾 2北京·北京工商大学嘉华学院,2.0,False
16,L-yyyy要早睡,id=5619089115&refer_flag=1001015010_,['L-yyyy要早睡'],?评论,?赞,2018-09-27 21:39,,分享图片 2北京·北京工商大学嘉华学院,3.0,False
17,北京工商大学嘉华学院校团委,id=6235733664&refer_flag=1001015010_,"['北京工商大学嘉华学院校团委', '']",?评论,?4,2018-09-27 21:36,,"#晚安，嘉华#

Life isn't about waiting for the storm to pass, it's about learning to dance in the rain。
生活不是等待暴风雨过去，而是要学会在雨中跳舞。

晚安嘉华 2北京·北京工商大学嘉华学院",1.0,False
18,王文娜_Bubble,id=2422676305&refer_flag=1001015010_,['王文娜_Bubble'],?评论,?赞,2018-09-28 18:07,,"彻夜狂欢过后，剩下的是无尽的寂寥。
不想社交，不想说话，惶恐和无助占据全部。 2北京·北京工商大学嘉华学院",0.0,False
19,唐僧爱吃佳洁士,id=5403658752&refer_flag=1001015010_,"['唐僧爱吃佳洁士', '微博会员']",?评论,?赞,2018-09-28 16:07,三星Galaxy S9+,@钟文泽  太真实了 2北京·北京工商大学嘉华学院,1.0,False
20,TWENUAN,id=5165421136&refer_flag=1001015010_,['TWENUAN'],? 2,?7,2018-09-27 20:32,,近日自拍 2北京·北京工商大学嘉华学院,2.0,False
